model;precision;recall;f1;random_seed;timestamp
random;0.11243520439005396;0.34077109896782026;0.16907880767524242;AVG;2026-09-10_21:35:51
mistral-large;0.44284550638066794;0.7427140255009107;0.5548562680728015;AVG;2026-09-10_21:35:51
random_forest;0.6459559737745558;0.5344565877352763;0.5849335465272444;AVG;2026-09-10_21:35:51
random;0.1130705394190871;0.3474499089253187;0.1706171735241502;1;2026-09-10_21:35:13
mistral-large;0.4428455063806679;0.7427140255009107;0.5548562680728015;1;2026-09-10_21:35:13
random_forest;0.643521049753964;0.5359744990892532;0.5848447204968944;1;2026-09-10_21:35:24
random;0.1138345864661654;0.3447176684881602;0.1711508026226543;2;2026-09-10_21:35:26
mistral-large;0.4428455063806679;0.7427140255009107;0.5548562680728015;2;2026-09-10_21:35:26
random_forest;0.6443468715697036;0.5346083788706739;0.5843703334992533;2;2026-09-10_21:35:36
random;0.1104004872849094;0.3301457194899818;0.1654684468789227;3;2026-09-10_21:35:38
mistral-large;0.4428455063806679;0.7427140255009107;0.5548562680728015;3;2026-09-10_21:35:38
random_forest;0.65;0.5327868852459017;0.5855855855855856;3;2026-09-10_21:35:49
