model;perc_train;precision;recall;f1;n_train;n_test;random_seed;timestamp
random_forest;0.01;0.5485364031312617;0.40965391621129327;0.4672894145193234;800;20000;AVG;2026-09-10_22:47:36
random_forest;0.05;0.5755795860453007;0.45125227686703095;0.5056020393276851;4000;20000;AVG;2026-09-10_22:47:36
random_forest;0.1;0.5914991804982976;0.4713456284153005;0.5243786387897957;8000;20000;AVG;2026-09-10_22:47:36
random_forest;0.2;0.6080169486720177;0.493021402550091;0.5443729428946178;16000;20000;AVG;2026-09-10_22:47:36
random_forest;0.3;0.6181057825884293;0.5025956284153005;0.5543123557363547;24000;20000;AVG;2026-09-10_22:47:36
random_forest;0.4;0.6219453316804082;0.5092326958105646;0.5599020500300197;32000;20000;AVG;2026-09-10_22:47:36
random_forest;0.5;0.6313161872684476;0.5148793260473588;0.567122789913449;40000;20000;AVG;2026-09-10_22:47:36
random_forest;0.6;0.6357231138964876;0.5190346083788706;0.5714466879715018;48000;20000;AVG;2026-09-10_22:47:36
random_forest;0.7;0.6392186804719848;0.5236566484517304;0.5756549105897062;56000;20000;AVG;2026-09-10_22:47:36
random_forest;0.8;0.642471939870242;0.5273451730418943;0.5792038792482163;64000;20000;AVG;2026-09-10_22:47:36
random_forest;0.9;0.6452697092552317;0.5290300546448087;0.581371429910936;72000;20000;AVG;2026-09-10_22:47:36
random_forest;1.0;0.6474746358106772;0.5331511839708561;0.5847681106747167;80000;20000;AVG;2026-09-10_22:47:36
random_forest;0.01;0.5234996384671005;0.3296903460837887;0.4045822855546241;800;20000;1;2026-09-10_21:36:01
random_forest;0.05;0.5589988081048868;0.4271402550091074;0.4842540010325245;4000;20000;1;2026-09-10_21:36:09
random_forest;0.1;0.6075801749271137;0.4744990892531876;0.532856047046791;8000;20000;1;2026-09-10_21:36:18
random_forest;0.2;0.6109510086455331;0.482695810564663;0.5393029763418976;16000;20000;1;2026-09-10_21:36:27
random_forest;0.3;0.613934894346088;0.4895264116575592;0.5447175069673169;24000;20000;1;2026-09-10_21:36:36
random_forest;0.4;0.621331828442438;0.5013661202185792;0.5549395161290321;32000;20000;1;2026-09-10_21:36:45
random_forest;0.5;0.6368876080691642;0.5031876138433515;0.5621979140167895;40000;20000;1;2026-09-10_21:36:54
random_forest;0.6;0.6256239600665557;0.5136612021857924;0.5641410352588148;48000;20000;1;2026-09-10_21:37:03
random_forest;0.7;0.6310517529215359;0.5163934426229508;0.5679939894815929;56000;20000;1;2026-09-10_21:37:12
random_forest;0.8;0.6289342904472667;0.5186703096539163;0.568505116046918;64000;20000;1;2026-09-10_21:37:21
random_forest;0.9;0.6445182724252492;0.5300546448087432;0.5817091454272864;72000;20000;1;2026-09-10_21:37:31
random_forest;1.0;0.643521049753964;0.5359744990892532;0.5848447204968944;80000;20000;1;2026-09-10_21:37:40
random_forest;0.01;0.5755022683084899;0.4043715846994535;0.474993313720246;800;20000;2;2026-09-10_21:37:50
random_forest;0.05;0.5636464702612562;0.4617486338797814;0.5076345431789738;4000;20000;2;2026-09-10_21:37:59
random_forest;0.1;0.5913146936347412;0.4526411657559198;0.5127676038173845;8000;20000;2;2026-09-10_21:38:07
random_forest;0.2;0.6161383285302594;0.4867941712204007;0.5438819638768762;16000;20000;2;2026-09-10_21:38:15
random_forest;0.3;0.6313416009019166;0.5100182149362478;0.5642317380352646;24000;20000;2;2026-09-10_21:38:24
random_forest;0.4;0.6123110151187905;0.5163934426229508;0.5602766798418972;32000;20000;2;2026-09-10_21:38:32
random_forest;0.5;0.6309060589216231;0.5168488160291439;0.5682102628285357;40000;20000;2;2026-09-10_21:38:41
random_forest;0.6;0.6367713004484304;0.517304189435337;0.5708542713567839;48000;20000;2;2026-09-10_21:38:50
random_forest;0.7;0.6418994413407821;0.523224043715847;0.5765178123432012;56000;20000;2;2026-09-10_21:38:59
random_forest;0.8;0.6398907103825137;0.5332422586520947;0.5817188276204669;64000;20000;2;2026-09-10_21:39:08
random_forest;0.9;0.6384149697303247;0.5282331511839709;0.5781211064041863;72000;20000;2;2026-09-10_21:39:17
random_forest;1.0;0.6443468715697036;0.5346083788706739;0.5843703334992533;80000;20000;2;2026-09-10_21:39:27
random_forest;0.01;0.5226463104325699;0.4676684881602914;0.4936313386205239;800;20000;3;2026-09-10_21:39:36
random_forest;0.05;0.5715106260769672;0.4530965391621129;0.5054610109220219;4000;20000;3;2026-09-10_21:39:44
random_forest;0.1;0.6008158508158508;0.4694899817850637;0.5270961145194274;8000;20000;3;2026-09-10_21:39:53
random_forest;0.2;0.6189655172413793;0.4904371584699453;0.5472560975609756;16000;20000;3;2026-09-10_21:40:01
random_forest;0.3;0.6353276353276354;0.5077413479052824;0.5644140723867376;24000;20000;3;2026-09-10_21:40:09
random_forest;0.4;0.6423728813559322;0.51775956284153;0.5733736762481089;32000;20000;3;2026-09-10_21:40:18
random_forest;0.5;0.6414887794198139;0.5336976320582878;0.5826497638578175;40000;20000;3;2026-09-10_21:40:26
random_forest;0.6;0.6463076068850638;0.5300546448087432;0.5824368276207156;48000;20000;3;2026-09-10_21:40:35
random_forest;0.7;0.6440677966101694;0.5364298724954463;0.5853416149068323;56000;20000;3;2026-09-10_21:40:44
random_forest;0.8;0.6385674931129477;0.5277777777777778;0.5779107454500124;64000;20000;3;2026-09-10_21:40:53
random_forest;0.9;0.6418072945019053;0.5368852459016393;0.5846764195388049;72000;20000;3;2026-09-10_21:41:02
random_forest;1.0;0.65;0.5327868852459017;0.5855855855855856;80000;20000;3;2026-09-10_21:41:11
random_forest;0.01;0.5613832853025936;0.4435336976320583;0.4955482065632154;800;20000;4;2026-09-10_21:41:21
random_forest;0.05;0.5605095541401274;0.4408014571948998;0.4934998725465205;4000;20000;4;2026-09-10_21:41:29
random_forest;0.1;0.5952380952380952;0.4781420765027322;0.5303030303030302;8000;20000;4;2026-09-10_21:41:37
random_forest;0.2;0.599004424778761;0.4931693989071038;0.5409590409590409;16000;20000;4;2026-09-10_21:41:45
random_forest;0.3;0.6111420612813371;0.4995446265938069;0.549736908043097;24000;20000;4;2026-09-10_21:41:54
random_forest;0.4;0.6139685977260422;0.5163934426229508;0.5609695770467475;32000;20000;4;2026-09-10_21:42:02
random_forest;0.5;0.6266025641025641;0.5341530054644809;0.5766961651917404;40000;20000;4;2026-09-10_21:42:11
random_forest;0.6;0.6306601200218221;0.5264116575591985;0.5738396624472574;48000;20000;4;2026-09-10_21:42:19
random_forest;0.7;0.6442093541202673;0.5268670309653917;0.5796593186372745;56000;20000;4;2026-09-10_21:42:28
random_forest;0.8;0.6498054474708171;0.5323315118397086;0.5852315394242804;64000;20000;4;2026-09-10_21:42:37
random_forest;0.9;0.6514896008993817;0.5277777777777778;0.5831446540880504;72000;20000;4;2026-09-10_21:42:47
random_forest;1.0;0.6472527472527473;0.5364298724954463;0.5866533864541833;80000;20000;4;2026-09-10_21:42:56
random_forest;0.01;0.542314335060449;0.4289617486338797;0.4790236460717009;800;20000;5;2026-09-10_21:43:06
random_forest;0.05;0.5734226689000559;0.4676684881602914;0.5151743165287184;4000;20000;5;2026-09-10_21:43:14
random_forest;0.1;0.601804850535815;0.4858834244080146;0.5376669186192997;8000;20000;5;2026-09-10_21:43:22
random_forest;0.2;0.619800820152314;0.4817850637522768;0.5421470663592108;16000;20000;5;2026-09-10_21:43:30
random_forest;0.3;0.624004550625711;0.4995446265938069;0.5548811330298432;24000;20000;5;2026-09-10_21:43:39
random_forest;0.4;0.6142935079105292;0.5127504553734062;0.5589476296847854;32000;20000;5;2026-09-10_21:43:48
random_forest;0.5;0.6298312465977136;0.5268670309653917;0.5737664269774361;40000;20000;5;2026-09-10_21:43:56
random_forest;0.6;0.6396694214876033;0.5286885245901639;0.5789080029917726;48000;20000;5;2026-09-10_21:44:05
random_forest;0.7;0.6484018264840182;0.517304189435337;0.5754812563323201;56000;20000;5;2026-09-10_21:44:14
random_forest;0.8;0.6491821771009588;0.5241347905282332;0.5799949609473419;64000;20000;5;2026-09-10_21:44:23
random_forest;0.9;0.6577296063890473;0.5250455373406193;0.5839453026082552;72000;20000;5;2026-09-10_21:44:32
random_forest;1.0;0.6460859977949284;0.5336976320582878;0.5845386533665835;80000;20000;5;2026-09-10_21:44:42
random_forest;0.01;0.5232177894048398;0.3642987249544626;0.4295302013422818;800;20000;6;2026-09-10_21:44:51
random_forest;0.05;0.5694838343732275;0.4571948998178506;0.5071987875726194;4000;20000;6;2026-09-10_21:44:59
random_forest;0.1;0.5987878787878788;0.4499089253187613;0.5137805512220489;8000;20000;6;2026-09-10_21:45:08
random_forest;0.2;0.6038374717832957;0.4872495446265938;0.5393145161290323;16000;20000;6;2026-09-10_21:45:17
random_forest;0.3;0.6052631578947368;0.4922586520947176;0.5429432446007031;24000;20000;6;2026-09-10_21:45:27
random_forest;0.4;0.6228473019517795;0.49408014571949;0.5510411376333164;32000;20000;6;2026-09-10_21:45:36
random_forest;0.5;0.6364155251141552;0.5077413479052824;0.5648429584599798;40000;20000;6;2026-09-10_21:45:44
random_forest;0.6;0.6243124312431243;0.5168488160291439;0.5655206776283008;48000;20000;6;2026-09-10_21:45:54
random_forest;0.7;0.6306849315068493;0.5241347905282332;0.5724944043770207;56000;20000;6;2026-09-10_21:46:04
random_forest;0.8;0.6420581655480985;0.5227686703096539;0.5763052208835341;64000;20000;6;2026-09-10_21:46:13
random_forest;0.9;0.6464088397790055;0.5327868852459017;0.5841238142785822;72000;20000;6;2026-09-10_21:46:23
random_forest;1.0;0.6404371584699453;0.5336976320582878;0.5822155986090413;80000;20000;6;2026-09-10_21:46:33
random_forest;0.01;0.5162921348314606;0.418488160291439;0.4622736418511066;800;20000;7;2026-09-10_21:46:42
random_forest;0.05;0.5796610169491525;0.4672131147540984;0.5173978819969743;4000;20000;7;2026-09-10_21:46:51
random_forest;0.1;0.6151515151515151;0.4622040072859745;0.5278211128445138;8000;20000;7;2026-09-10_21:46:59
random_forest;0.2;0.6097010716300056;0.4922586520947176;0.54472159234064;16000;20000;7;2026-09-10_21:47:08
random_forest;0.3;0.6206503137478608;0.4954462659380692;0.551025576095214;24000;20000;7;2026-09-10_21:47:16
random_forest;0.4;0.6278938452851497;0.5063752276867031;0.5606251575497857;32000;20000;7;2026-09-10_21:47:25
random_forest;0.5;0.6483075157773953;0.5145719489981785;0.5737496826605738;40000;20000;7;2026-09-10_21:47:33
random_forest;0.6;0.6447592067988669;0.5182149362477231;0.5746023731380965;48000;20000;7;2026-09-10_21:47:42
random_forest;0.7;0.6477208778840743;0.5241347905282332;0.5794110244147999;56000;20000;7;2026-09-10_21:47:51
random_forest;0.8;0.6570936243538197;0.5209471766848816;0.5811531623063245;64000;20000;7;2026-09-10_21:48:00
random_forest;0.9;0.6456473214285714;0.5268670309653917;0.5802407221664996;72000;20000;7;2026-09-10_21:48:10
random_forest;1.0;0.6507495835646863;0.5336976320582878;0.5864398298724042;80000;20000;7;2026-09-10_21:48:19
random_forest;0.01;0.5152198421645998;0.4162112932604735;0.4604534005037783;800;20000;8;2026-09-10_21:48:29
random_forest;0.05;0.5680507497116494;0.4485428051001821;0.5012722646310432;4000;20000;8;2026-09-10_21:48:37
random_forest;0.1;0.5851602023608768;0.4740437158469945;0.5237735849056604;8000;20000;8;2026-09-10_21:48:45
random_forest;0.2;0.607043040804919;0.494535519125683;0.5450439146800502;16000;20000;8;2026-09-10_21:48:54
random_forest;0.3;0.6083877995642701;0.5086520947176685;0.5540674603174603;24000;20000;8;2026-09-10_21:49:02
random_forest;0.4;0.6214720531267294;0.511384335154827;0.5610791906070447;32000;20000;8;2026-09-10_21:49:10
random_forest;0.5;0.6359003397508494;0.511384335154827;0.5668854114083797;40000;20000;8;2026-09-10_21:49:19
random_forest;0.6;0.644870349492672;0.5209471766848816;0.5763224181360201;48000;20000;8;2026-09-10_21:49:28
random_forest;0.7;0.6412506856829402;0.5323315118397086;0.5817367504354317;56000;20000;8;2026-09-10_21:49:37
random_forest;0.8;0.65234375;0.5323315118397086;0.586258776328987;64000;20000;8;2026-09-10_21:49:46
random_forest;0.9;0.649357900614182;0.5295992714025501;0.5833960371206421;72000;20000;8;2026-09-10_21:49:56
random_forest;1.0;0.6500553709856035;0.5346083788706739;0.5867066466766616;80000;20000;8;2026-09-10_21:50:05
random_forest;0.01;0.5531353135313531;0.3816029143897996;0.451630288331986;800;20000;9;2026-09-10_21:50:14
random_forest;0.05;0.5818965517241379;0.430327868852459;0.4947643979057591;4000;20000;9;2026-09-10_21:50:23
random_forest;0.1;0.5984299516908212;0.4512750455373406;0.5145379023883697;8000;20000;9;2026-09-10_21:50:31
random_forest;0.2;0.6445141065830721;0.4681238615664845;0.5423371142178844;16000;20000;9;2026-09-10_21:50:39
random_forest;0.3;0.6392367322599881;0.48816029143898;0.5535760392460625;24000;20000;9;2026-09-10_21:50:47
random_forest;0.4;0.6447520184544406;0.5091074681238615;0.5689567430025444;32000;20000;9;2026-09-10_21:50:56
random_forest;0.5;0.6470923603192702;0.5168488160291439;0.5746835443037975;40000;20000;9;2026-09-10_21:51:05
random_forest;0.6;0.6452154448796866;0.5250455373406193;0.5789605824755211;48000;20000;9;2026-09-10_21:51:13
random_forest;0.7;0.6455203116304953;0.5282331511839709;0.5810167793638868;56000;20000;9;2026-09-10_21:51:22
random_forest;0.8;0.646604086140254;0.5332422586520947;0.5844771649613176;64000;20000;9;2026-09-10_21:51:32
random_forest;0.9;0.6450360510260676;0.5295992714025501;0.5816454113528382;72000;20000;9;2026-09-10_21:51:41
