src\tgt;ksh;nds;als;pfl;bar;random_seed
ksh;0.810126582278481;0.8446389496717724;0.8860914201906623;0.8650793650793651;0.8189300411522633;AVG
nds;0.4367088607594936;0.599562363238512;0.5298622993563106;0.45634920634920634;0.5411522633744855;AVG
als;0.6729957805907173;0.7651349380014588;0.818055895054184;0.7599206349206349;0.7469135802469135;AVG
pfl;0.7932489451476794;0.8008752735229759;0.8605068035525137;0.8551587301587301;0.794238683127572;AVG
bar;0.6476793248945149;0.6929248723559446;0.6696814144870854;0.5912698412698413;0.661522633744856;AVG
ALL;0.689873417721519;0.7600291757840992;0.8044487900268883;0.748015873015873;0.727880658436214;AVG
ksh;0.8037974683544303;0.8446389496717724;0.885846981178196;0.8571428571428571;0.8148148148148148;1
nds;0.4430379746835443;0.5995623632385121;0.5233439256905402;0.4523809523809524;0.5447530864197531;1
als;0.6708860759493671;0.7658643326039387;0.8169151796626741;0.7619047619047619;0.7469135802469136;1
pfl;0.7911392405063291;0.8052516411378556;0.8601808848692252;0.8571428571428571;0.7947530864197531;1
bar;0.6518987341772152;0.6936542669584245;0.6685406990955757;0.5892857142857143;0.6604938271604939;1
ALL;0.6835443037974683;0.7592997811816192;0.8068931801515522;0.7440476190476191;0.7283950617283951;1
ksh;0.8164556962025317;0.8424507658643327;0.887069176240528;0.8630952380952381;0.8240740740740741;2
nds;0.4430379746835443;0.6083150984682714;0.531410413101931;0.4523809523809524;0.5401234567901234;2
als;0.6772151898734177;0.7702407002188184;0.819359569787338;0.7619047619047619;0.7469135802469136;2
pfl;0.7911392405063291;0.8030634573304157;0.8601808848692252;0.8571428571428571;0.7916666666666666;2
bar;0.6392405063291139;0.6827133479212254;0.6739183573698362;0.5952380952380952;0.6682098765432098;2
ALL;0.7025316455696202;0.7636761487964989;0.8051821070642875;0.7619047619047619;0.7361111111111112;2
ksh;0.810126582278481;0.8468271334792122;0.8853581031532632;0.875;0.8179012345679012;3
nds;0.4240506329113924;0.5908096280087527;0.5348325592764606;0.4642857142857143;0.5385802469135802;3
als;0.6708860759493671;0.7592997811816192;0.8178929357125397;0.7559523809523809;0.7469135802469136;3
pfl;0.7974683544303798;0.7943107221006565;0.8611586409190907;0.8511904761904762;0.7962962962962963;3
bar;0.6518987341772152;0.7024070021881839;0.6665851869958446;0.5892857142857143;0.6558641975308642;3
ALL;0.6835443037974683;0.7571115973741794;0.8012710828648252;0.7380952380952381;0.7191358024691358;3
